0 11.191 0.22518
0.001 11.173 0.22555
0.002 11.154 0.22592
0.003 11.136 0.2263
0.004 11.118 0.22667
0.005 11.1 0.22704
0.006 11.082 0.22742
0.007 11.064 0.2278
0.008 11.046 0.22818
0.009 11.027 0.22856
0.01 11.009 0.22894
0.011 10.991 0.22933
0.012 10.973 0.22971
0.013 10.954 0.2301
0.014 10.936 0.23048
0.015 10.918 0.23086
0.016 10.899 0.23126
0.017 10.881 0.23165
0.018 10.862 0.23204
0.019 10.844 0.23243
0.02 10.825 0.23282
0.021 10.807 0.23322
0.022 10.788 0.23362
0.023 10.77 0.23401
0.024 10.751 0.23441
0.025 10.733 0.23481
0.026 10.714 0.23522
0.027 10.695 0.23563
0.028 10.677 0.23604
0.029 10.658 0.23645
0.03 10.639 0.23687
0.031 10.62 0.23729
0.032 10.602 0.23771
0.033 10.583 0.23814
0.034 10.564 0.23856
0.035 10.545 0.23898
0.036 10.526 0.23942
0.037 10.507 0.23985
0.038 10.488 0.24028
0.039 10.469 0.24071
0.04 10.45 0.24114
0.041 10.431 0.24159
0.042 10.412 0.24204
0.043 10.393 0.24248
0.044 10.374 0.24293
0.045 10.355 0.24337
0.046 10.336 0.24383
0.047 10.317 0.24428
0.048 10.297 0.24473
0.049 10.278 0.24519
0.05 10.259 0.24564
0.051 10.24 0.24611
0.052 10.22 0.24658
0.053 10.201 0.24705
0.054 10.181 0.24752
0.055 10.162 0.24799
0.056 10.143 0.24847
0.057 10.123 0.24895
0.058 10.104 0.24942
0.059 10.084 0.2499
0.06 10.065 0.25038
0.061 10.045 0.25087
0.062 10.025 0.25137
0.063 10.006 0.25186
0.064 9.9861 0.25235
0.065 9.9664 0.25285
0.066 9.9466 0.25335
0.067 9.9268 0.25386
0.068 9.907 0.25437
0.069 9.8873 0.25487
0.07 9.8675 0.25538
0.071 9.8475 0.2559
0.072 9.8276 0.25642
0.073 9.8076 0.25693
0.074 9.7877 0.25745
0.075 9.7678 0.25797
0.076 9.7477 0.2585
0.077 9.7276 0.25904
0.078 9.7075 0.25957
0.079 9.6874 0.26011
0.08 9.6673 0.26064
0.081 9.647 0.26119
0.082 9.6268 0.26174
0.083 9.6065 0.26229
0.084 9.5863 0.26284
0.085 9.566 0.26339
0.086 9.5456 0.26396
0.087 9.5252 0.26452
0.088 9.5048 0.26509
0.089 9.4844 0.26566
0.09 9.464 0.26623
0.091 9.4434 0.26681
0.092 9.4228 0.26739
0.093 9.4022 0.26797
0.094 9.3817 0.26856
0.095 9.3611 0.26914
0.096 9.3403 0.26974
0.097 9.3196 0.27034
0.098 9.2989 0.27094
0.099 9.2781 0.27154
0.1 9.2574 0.27213
0.101 9.2365 0.27276
0.102 9.2155 0.27338
0.103 9.1946 0.274
0.104 9.1737 0.27462
0.105 9.1528 0.27525
0.106 9.1317 0.27588
0.107 9.1106 0.27652
0.108 9.0895 0.27716
0.109 9.0685 0.27779
0.11 9.0474 0.27843
0.111 9.0261 0.27909
0.112 9.0048 0.27975
0.113 8.9836 0.2804
0.114 8.9623 0.28106
0.115 8.941 0.28172
0.116 8.9196 0.2824
0.117 8.8981 0.28307
0.118 8.8767 0.28375
0.119 8.8552 0.28442
0.12 8.8337 0.2851
0.121 8.8121 0.28581
0.122 8.7905 0.28651
0.123 8.7688 0.28722
0.124 8.7472 0.28792
0.125 8.7256 0.28863
0.126 8.7038 0.28936
0.127 8.6819 0.29008
0.128 8.6601 0.29081
0.129 8.6383 0.29154
0.13 8.6164 0.29227
0.131 8.5944 0.29302
0.132 8.5724 0.29376
0.133 8.5504 0.29451
0.134 8.5283 0.29526
0.135 8.5063 0.29601
0.136 8.4841 0.29679
0.137 8.4619 0.29756
0.138 8.4396 0.29834
0.139 8.4174 0.29912
0.14 8.3952 0.2999
