0 7 1 18   VAL1
0 18 7 1   VAL1
0 1 7 18   VAL2
0 6 7 1   VAL1
0 1 6 7   VAL1
0 7 6 1   VAL2
0 11 6 7   VAL1
0 7 11 6   VAL1
0 6 11 7   VAL2
1 2 20 19   VAL1
1 19 2 20   VAL1
1 20 2 19   VAL2
1 7 2 20   VAL1
1 20 7 2   VAL1
1 2 7 20   VAL2
1 0 7 2   VAL1
1 2 0 7   VAL1
1 7 0 2   VAL2
2 9 3 20   VAL1
2 20 9 3   VAL1
2 3 9 20   VAL2
2 8 9 3   VAL1
2 3 8 9   VAL1
2 9 8 3   VAL2
2 7 8 9   VAL1
2 9 7 8   VAL1
2 8 7 9   VAL2
3 4 22 21   VAL1
3 21 4 22   VAL1
3 22 4 21   VAL2
3 9 4 22   VAL1
3 22 9 4   VAL1
3 4 9 22   VAL2
3 2 9 4   VAL1
3 4 2 9   VAL1
3 9 2 4   VAL2
4 11 5 22   VAL1
4 22 11 5   VAL1
4 5 11 22   VAL2
4 10 11 5   VAL1
4 5 10 11   VAL1
4 11 10 5   VAL2
4 9 10 11   VAL1
4 11 9 10   VAL1
4 10 9 11   VAL2
5 0 18 23   VAL1
5 23 0 18   VAL1
5 18 0 23   VAL2
5 11 0 18   VAL1
5 18 11 0   VAL1
5 0 11 18   VAL2
5 4 11 0   VAL1
5 0 4 11   VAL1
5 11 4 0   VAL2
6 13 7 0   VAL1
6 0 13 7   VAL1
6 7 13 0   VAL2
6 12 13 7   VAL1
6 7 12 13   VAL1
6 13 12 7   VAL2
6 17 12 13   VAL1
6 13 17 12   VAL1
6 12 17 13   VAL2
7 8 2 1   VAL1
7 1 8 2   VAL1
7 2 8 1   VAL2
7 13 8 2   VAL1
7 2 13 8   VAL1
7 8 13 2   VAL2
7 6 13 8   VAL1
7 8 6 13   VAL1
7 13 6 8   VAL2
8 15 9 2   VAL1
8 2 15 9   VAL1
8 9 15 2   VAL2
8 14 15 9   VAL1
8 9 14 15   VAL1
8 15 14 9   VAL2
8 13 14 15   VAL1
8 15 13 14   VAL1
8 14 13 15   VAL2
9 10 4 3   VAL1
9 3 10 4   VAL1
9 4 10 3   VAL2
9 15 10 4   VAL1
9 4 15 10   VAL1
9 10 15 4   VAL2
9 8 15 10   VAL1
9 10 8 15   VAL1
9 15 8 10   VAL2
10 17 11 4   VAL1
10 4 17 11   VAL1
10 11 17 4   VAL2
10 16 17 11   VAL1
10 11 16 17   VAL1
10 17 16 11   VAL2
